datetime,anomaly,uncert
1878-08-01 00:00:00,0.027,0.169
1878-09-01 00:00:00,-0.041,0.176
1878-10-01 00:00:00,-0.066,0.173
1878-11-01 00:00:00,-0.015,0.196
1878-12-01 00:00:00,-0.168,0.186
1879-01-01 00:00:00,-0.154,0.221
1879-02-01 00:00:00,-0.245,0.208
1879-03-01 00:00:00,-0.083,0.205
1879-04-01 00:00:00,-0.338,0.181
1879-05-01 00:00:00,-0.288,0.168
1879-06-01 00:00:00,-0.216,0.179
1879-07-01 00:00:00,-0.24,0.167
1879-08-01 00:00:00,-0.288,0.171
1879-09-01 00:00:00,-0.354,0.156
1879-10-01 00:00:00,-0.15,0.164
1879-11-01 00:00:00,-0.244,0.183
1879-12-01 00:00:00,-0.477,0.179
1880-01-01 00:00:00,-0.441,0.193
1880-02-01 00:00:00,-0.479,0.192
1880-03-01 00:00:00,-0.199,0.168
1880-04-01 00:00:00,-0.339,0.2
1880-05-01 00:00:00,-0.228,0.204
1880-06-01 00:00:00,-0.3,0.192
1880-07-01 00:00:00,-0.304,0.168
1880-08-01 00:00:00,-0.2,0.194
1880-09-01 00:00:00,-0.435,0.165
1880-10-01 00:00:00,-0.379,0.184
1880-11-01 00:00:00,-0.187,0.223
1880-12-01 00:00:00,-0.272,0.181
1881-01-01 00:00:00,-0.134,0.204
1881-02-01 00:00:00,-0.214,0.232
1881-03-01 00:00:00,-0.089,0.162
1881-04-01 00:00:00,-0.036,0.16
1881-05-01 00:00:00,-0.088,0.167
1881-06-01 00:00:00,-0.381,0.17
1881-07-01 00:00:00,-0.169,0.16
1881-08-01 00:00:00,-0.207,0.163
1881-09-01 00:00:00,-0.351,0.147
1881-10-01 00:00:00,-0.276,0.152
1881-11-01 00:00:00,-0.431,0.162
1881-12-01 00:00:00,-0.248,0.179
1882-01-01 00:00:00,0.055,0.185
1882-02-01 00:00:00,-0.002,0.193
1882-03-01 00:00:00,-0.115,0.177
1882-04-01 00:00:00,-0.292,0.158
1882-05-01 00:00:00,-0.284,0.168
1882-06-01 00:00:00,-0.368,0.145
1882-07-01 00:00:00,-0.374,0.146
1882-08-01 00:00:00,-0.214,0.163
1882-09-01 00:00:00,-0.253,0.143
1882-10-01 00:00:00,-0.42,0.16
1882-11-01 00:00:00,-0.446,0.219
1882-12-01 00:00:00,-0.599,0.187
1883-01-01 00:00:00,-0.464,0.171
1883-02-01 00:00:00,-0.471,0.198
1883-03-01 00:00:00,-0.154,0.192
1883-04-01 00:00:00,-0.376,0.179
1883-05-01 00:00:00,-0.257,0.16
1883-06-01 00:00:00,-0.18,0.144
1883-07-01 00:00:00,-0.295,0.195
1883-08-01 00:00:00,-0.352,0.148
1883-09-01 00:00:00,-0.383,0.145
1883-10-01 00:00:00,-0.35,0.128
1883-11-01 00:00:00,-0.535,0.135
1883-12-01 00:00:00,-0.316,0.176
1884-01-01 00:00:00,-0.306,0.175
1884-02-01 00:00:00,-0.249,0.181
1884-03-01 00:00:00,-0.545,0.167
1884-04-01 00:00:00,-0.599,0.14
1884-05-01 00:00:00,-0.588,0.151
1884-06-01 00:00:00,-0.525,0.145
1884-07-01 00:00:00,-0.538,0.154
1884-08-01 00:00:00,-0.505,0.157
1884-09-01 00:00:00,-0.536,0.143
1884-10-01 00:00:00,-0.47,0.136
1884-11-01 00:00:00,-0.626,0.146
1884-12-01 00:00:00,-0.503,0.162
1885-01-01 00:00:00,-0.717,0.191
1885-02-01 00:00:00,-0.499,0.187
1885-03-01 00:00:00,-0.418,0.145
1885-04-01 00:00:00,-0.593,0.141
1885-05-01 00:00:00,-0.553,0.138
1885-06-01 00:00:00,-0.615,0.129
1885-07-01 00:00:00,-0.388,0.15
1885-08-01 00:00:00,-0.46,0.153
1885-09-01 00:00:00,-0.458,0.137
1885-10-01 00:00:00,-0.372,0.147
1885-11-01 00:00:00,-0.401,0.153
1885-12-01 00:00:00,-0.239,0.171
1886-01-01 00:00:00,-0.636,0.172
1886-02-01 00:00:00,-0.658,0.147
1886-03-01 00:00:00,-0.555,0.129
1886-04-01 00:00:00,-0.464,0.154
1886-05-01 00:00:00,-0.284,0.137
1886-06-01 00:00:00,-0.51,0.133
1886-07-01 00:00:00,-0.334,0.139
1886-08-01 00:00:00,-0.453,0.146
1886-09-01 00:00:00,-0.515,0.134
1886-10-01 00:00:00,-0.459,0.153
1886-11-01 00:00:00,-0.582,0.152
1886-12-01 00:00:00,-0.452,0.206
1887-01-01 00:00:00,-0.999,0.188
1887-02-01 00:00:00,-0.758,0.161
1887-03-01 00:00:00,-0.518,0.156
1887-04-01 00:00:00,-0.407,0.149
1887-05-01 00:00:00,-0.469,0.16
1887-06-01 00:00:00,-0.488,0.13
1887-07-01 00:00:00,-0.369,0.138
1887-08-01 00:00:00,-0.551,0.164
1887-09-01 00:00:00,-0.425,0.138
1887-10-01 00:00:00,-0.436,0.146
1887-11-01 00:00:00,-0.428,0.14
1887-12-01 00:00:00,-0.428,0.161
1888-01-01 00:00:00,-0.423,0.166
1888-02-01 00:00:00,-0.542,0.163
1888-03-01 00:00:00,-0.491,0.148
1888-04-01 00:00:00,-0.4,0.142
1888-05-01 00:00:00,-0.378,0.162
1888-06-01 00:00:00,-0.357,0.132
1888-07-01 00:00:00,-0.278,0.138
1888-08-01 00:00:00,-0.283,0.15
1888-09-01 00:00:00,-0.359,0.14
1888-10-01 00:00:00,-0.075,0.136
1888-11-01 00:00:00,-0.171,0.14
1888-12-01 00:00:00,-0.161,0.15
1889-01-01 00:00:00,-0.155,0.159
1889-02-01 00:00:00,0.18,0.146
1889-03-01 00:00:00,0.026,0.153
1889-04-01 00:00:00,0.04,0.149
1889-05-01 00:00:00,-0.159,0.151
1889-06-01 00:00:00,-0.182,0.135
1889-07-01 00:00:00,-0.193,0.145
1889-08-01 00:00:00,-0.3,0.16
1889-09-01 00:00:00,-0.423,0.147
1889-10-01 00:00:00,-0.285,0.146
1889-11-01 00:00:00,-0.498,0.172
1889-12-01 00:00:00,-0.368,0.187
1890-01-01 00:00:00,-0.484,0.191
1890-02-01 00:00:00,-0.427,0.164
1890-03-01 00:00:00,-0.571,0.146
1890-04-01 00:00:00,-0.454,0.164
1890-05-01 00:00:00,-0.49,0.164
1890-06-01 00:00:00,-0.456,0.136
1890-07-01 00:00:00,-0.452,0.174
1890-08-01 00:00:00,-0.482,0.152
1890-09-01 00:00:00,-0.515,0.14
1890-10-01 00:00:00,-0.342,0.146
1890-11-01 00:00:00,-0.668,0.16
1890-12-01 00:00:00,-0.369,0.157
1891-01-01 00:00:00,-0.508,0.161
1891-02-01 00:00:00,-0.585,0.153
1891-03-01 00:00:00,-0.229,0.151
1891-04-01 00:00:00,-0.412,0.147
1891-05-01 00:00:00,-0.26,0.149
1891-06-01 00:00:00,-0.407,0.141
1891-07-01 00:00:00,-0.397,0.153
1891-08-01 00:00:00,-0.344,0.171
1891-09-01 00:00:00,-0.276,0.146
1891-10-01 00:00:00,-0.38,0.139
1891-11-01 00:00:00,-0.54,0.147
1891-12-01 00:00:00,-0.188,0.176
1892-01-01 00:00:00,-0.29,0.149
1892-02-01 00:00:00,-0.159,0.15
1892-03-01 00:00:00,-0.447,0.149
1892-04-01 00:00:00,-0.52,0.146
1892-05-01 00:00:00,-0.453,0.159
1892-06-01 00:00:00,-0.379,0.147
1892-07-01 00:00:00,-0.527,0.158
1892-08-01 00:00:00,-0.511,0.164
1892-09-01 00:00:00,-0.344,0.142
1892-10-01 00:00:00,-0.243,0.142
1892-11-01 00:00:00,-0.661,0.142
1892-12-01 00:00:00,-0.511,0.234
1893-01-01 00:00:00,-0.894,0.156
1893-02-01 00:00:00,-0.599,0.152
1893-03-01 00:00:00,-0.305,0.148
1893-04-01 00:00:00,-0.401,0.15
1893-05-01 00:00:00,-0.412,0.157
1893-06-01 00:00:00,-0.315,0.139
1893-07-01 00:00:00,-0.201,0.161
1893-08-01 00:00:00,-0.267,0.155
1893-09-01 00:00:00,-0.403,0.134
1893-10-01 00:00:00,-0.224,0.136
